C:\Users\Assaf\Anaconda3\python.exe C:/Users/Assaf/PycharmProjects/GaTest/FindMatches/find_matches.py
Number of matches is: 6986
Printing mismatches for keys:  ['p1.hotel_name', 'p2.hotel_name']  number of mismatches: 546
186                    Hanting Hotel Shenzhen Mix City             Hanting Express Shenzhen Wanxiang Mall
187                  Hanting Hotel Yiwu Binwang Branch                     Hanting Express Yiwu Bing wang
188                    Hi Inn Shenzhen Huaqiang Branch                           Hi Inn Shenzhen Huaqiang
189                         Anchor On Collins Sapphire                         Anchor on Collins Sapphire
190                                 Parinyas Apartment                                Parinya's Apartment
191            Jinjiang Inn Yixing Middle Renming Road  Jinjiang Inn Yixing Middle Renmin Road Pedestrain
192                            Yangsho Sunvalley Hotel                          Yangshuo 520 Dream Hostel
196                                Cha-Am Pool Station                                Cha-am Pool Station
197                      Private Bungalow In Mauritius                          Belle Mare Beach Bungalow
201                                 Don Chan Residence                                  Donchan Residence
202                                          come inn2                                  Kenting Come Inn2
206                                 Imperial Hotel Hue                                 Imperial Hue Hotel
208                             Copenhagen Plaza Hotel                                   Copenhagen Plaza
209                          Ciputra Golf Club & Hotel                         Ciputra Golf, Club & Hotel
210                       Lindner Hotel and Spa Ruegen                          Lindner Hotel & Spa Rügen
211                              Hotel Re Pearl's Hill                           Hotel Re! @ Pearl's Hill
212             Petersons Armidale Winery & Guesthouse           Petersons Armidale Winery and Guesthouse
215                Aspasios Arago Executive Apartments                          AB Aragó Executive Suites
216         Somersal Bed and Breakfast - Wedding Venue                           Somersal Bed & Breakfast
219                                   Best Western Inn                       Best Western Inn Monroeville
222                Best Western Harbour Inn and Suites                Best Western - Harbour Inn & Suites
225                                  Camelot on Ulster                                  Camelot On Ulster
226                                      B & B Matinee                                        B&B Matinèe
227            Hampton Inn Kansas City - Liberty Hotel                    Hampton Inn Kansas City Liberty
229   Hilton Garden Inn Omaha Downtown Old Market Area   Hilton Garden Inn Omaha Downtown-Old Market Area
230                   Golden Hopes Group Of Houseboats                   Golden Hopes Group of Houseboats
231                       Comfort Inn Hotel Sherbrooke                             Comfort Inn Sherbrooke
232                            The Heron Portico Hotel                                  The Heron Portico
233                                   Ai Phuket Hostel                            Ai Phuket Hostel & Cafe
235                         Phoenix Park Hotel & Condo               Phoenix Park The Hotel & Condominium
237                           Thana Hotel & Guesthouse                                        Thana Hotel
239                                       Palace Plaza                                 Hotel Palace Plaza
241                                      Hotel Seifuen                                     Hotel Seifuuen
249                        Titan Paradise Xiamen Hotel                              Paradise Xiamen Hotel
254                              Hotel Nova KD Comfort                             Hotel Nova K D Comfort
255             Flag House Resort (18 Kms From Shimla)                                  Flag House Resort
260                              Dysart Boutique Hotel                              DysArt Boutique Hotel
262              Green Tree Inn Dalian Railway Station  GreenTree Inn Liaoning Dalian Railway Station ...
264                                  Phuc Hung Hotel 1                                    Phuc Hung Hotel
267                          Hotel du Lion d'Or Louvre                          Hôtel du Lion d'Or Louvre
268                          MALLVIEW MOTEL GREENSBURG                          Mallview Motel Greensburg
270              Phoenix Island Resort Apartment Sanya         Phoenix Island Resort Sanya ( Ocean Dream)
271                  Lexington Rochester Airport Hotel                Lexington Hotel – Rochester Airport
275                   Die Agterplaas Bed and Breakfast                                 Die Agterplaas B&B
277                International Minsyuku Kokage Hotel                           International Inn Kokage
278                                     Comfort Suites                             Comfort Suites Barstow
280    Hilton Garden Inn Edison - Raritan Center Hotel            Hilton Garden Inn Edison/Raritan Center
282                              Huachen Holiday Hotel                     Hangzhou Huachen Holiday Hotel
283                                 The Wallawwa Hotel                                       The Wallawwa
285                    The Kenilworth Resort & Spa Goa                        Kenilworth Resort & SPA,Goa
286          Grand Hotel Melbourne MGallery Collection        Grand Hotel Melbourne - MGallery by Sofitel
288                                   Aron Guest House                                    Aron Guesthouse
289    Clarion Collection Hotel Arlington Court Suites                       Arlington Court Suites Hotel
290                                 So Park Apartments                                  SO Park Battersea
291                            Vivenda Rebelo Homestay                                     Vivenda Rebelo
295                 Nightingale Falls Farmstay Retreat                Nightingale Falls Farm Stay Retreat
296  Homewood Suites by Hilton SeattleTacoma Airpor...  Homewood Suites by Hilton Seattle-Tacoma Airpo...
297                            Comfort Inn Vail Valley                      Comfort Inn Vail Valley/Eagle
298                                        Quality Inn                           Quality Inn - Coralville
299                                        Quality Inn                                 Quality Inn Murray
301                          Ripples on the Bay Resort                                 Ripples on the Bay
302                        Sofitel Wanda Beijing Hotel                              Sofitel Wanda Beijing
304                      Paradise Holidays Guest House                                  Paradise Homestay
305                           Fiesta Palms 5 Apartment                                     Fiesta Palms 5
306                               Vincci Centrum Hotel                                     Vincci Centrum
308                          Petit Palace Plaza Malaga                          Petit Palace Plaza Málaga
313                                     Ngu Binh Hotel                                 Ngu Binh Hue Hotel
315         Mahattan International Apartment Guangzhou                   Mahattan International Apartment
318  7 Days Inn Longyan Zhongshan Road Walking Stre...        7Days Inn Longyan Zhongshan Road Pedestrian
319                            Golden Bay Hotel Weihai             Wei Hai Golden Bay International Hotel
320                 7 Days Inn Wuhan Bao Feng 1st Road                     7Days Inn Wuhan Baofengyi Road
323    Hanting Hotel Beijing Yanqing Gaota Road Branch         Hanting Express Beijing Yanqing Gaota Road
324  7 Days Inn Nanjing Olympic Sports Center Olymp...  7Days Inn Nanjing East Olympic Centre Subway S...
325  7 Days Inn Taizhou Jiangyan Qintong Old Town B...    7Days Inn Taizhou Jiangyan Qintong Ancient Town
327                      Vista Rooms @ Shanthi Theatre                     Vista Rooms at Shanthi Theatre
329                                   Hotel Safin Pati                               The Safin Hotel Pati
337                                 The Victoria Hotel                           The Victoria Hotel Macau
340                             Anchorage Resort Motel                                   Anchorage Resort
341                             Radisson Blu Hotel GRT                    Radisson Blu Hotel GRT, Chennai
342               Best Western PLUS Palm Desert Resort               BEST WESTERN PLUS Palm Desert Resort
343                             Grandsunpia Nara Hotel                                  Grand Sunpia Nara
344           Toyoko Inn Tokyo Nihombashi Zeimusho Mae                 Toyoko Inn Nihombashi Zeimusho-mae
345                                        Comfort Inn                      Comfort Inn East Pickerington
346  Doubletree By Hilton Hotel Newcastle Internati...  DoubleTree by Hilton Hotel Newcastle Internati...
347                               Poipet Resort Casino                             Poipet Resort & Casino
348                              Oaks Felix Apartments                                         Oaks Felix
349  Americas Best Value Inn & Suites-Haltom City/F...     Americas Best Value Inn Haltom City Fort Worth
350                           Anne Hostel Asakusabashi                                        Anne Hostel
351                     Hotel Route Inn Toyokawa Inter                     Hotel Route-Inn Toyokawa Inter
352         Homewood Suites by Hilton Columbus Polaris         Homewood Suites by Hilton Columbus/Polaris
354              White Rose Kuta Resort - Villas & Spa               White Rose Kuta Resort, Villas & Spa
355                               Hostal Casa Salvador                                      Casa Salvador
356                               Quality Inn & Suites                      Quality Inn & Suites Anderson
360                      Hampton Inn And Suites Destin                        Hampton Inn & Suites Destin
361                              Ibis Koeln Leverkusen                               ibis Köln-Leverkusen
363                      Chezmoi Handicraft & Homestay                    Chezmoi Handicraft and Homestay
364                            Conclave Boutique Hotel                            Hotel Conclave Boutique
365                                     Hotel Aurelius                         Aurelius Art Gallery Hotel
367                              Evenia Rossello Hotel                                    Evenia Rossello
368                      Hotel The Neighbours Magnolia                     Hotel The Neighbour's Magnolia
370                      Chiang Mai Royal Creek Resort                        Chiangmai Royal Creek Hotel
371                               Country Roads Resort                                      Country Roads
373  7 Days Inn Shijiazhuang Liangcun Development D...  7Days Inn Shijiazhuang Liangcun Kaifaqu Chuang...
374                           A&O Stuttgart City Hotel                                 A&O Stuttgart City
377                                       Damai Resort                               Damai Resort Orlando
378              The Royal Paradise Resort & Salt Yard            The Royal Paradise Resort and Salt Yard
381                    Kyriad Chambery Centre - Curial        Kyriad Chambéry Centre - Hôtel et Résidence
384                  Best Western PLUS St. Charles Inn                  Best Western Plus St. Charles Inn
388                      Hampton Inn Nanuet - NY Hotel                                 Hampton Inn Nanuet
389                         Khaosan Holiday Guesthouse                                    Khaosan Holiday
393                                   Cove Beach Villa                                           The Cove
394                      Hotel Route Inn Aizuwakamatsu                      Hotel Route-Inn Aizuwakamatsu
395                 Chengdu Jietai Xingzheng Apartment                         Jietai Xingzheng Apartment
397  Homewood Suites By Hilton Austin Arboretum Nor...  Homewood Suites by Hilton Austin-Arboretum/Nor...
399                   Jawa Dwipa Resort and Convention          Jawa Dwipa Heritage Resort and Convention
400                                     Zhenxing Hotel                            Shenzhen Zhenxing Hotel
404                    Comfort Inn and Suites Dayville                      Comfort Inn & Suites Dayville
405                                        Quality Inn                                   Quality Inn Troy
407               Campanile Bordeaux Nord Le Lac Hotel                   Campanile Bordeaux Nord - Le Lac
408                             Guangdong Hotel Zhuhai                            Guang Dong Hotel Zhuhai
410                                     Amerique Hotel                             Citotel Amerique Hotel
413                                       Summit Hotel             Summit Hotel (Formerly Hallmark Hotel)
414                                   Hotel Ritz Plaza                                         Ritz Plaza
417                                Hotel SaiGalaxy Inn                               Hotel Sai Galaxy Inn
418                                       Cedran Hotel                                       Hotel Cedran
419                           The Yala Adventure Hotel                                 The Yala Adventure
420                          Ryokan Kinnotake Tonosawa                                 Kinnotake Tonosawa
421                                The Penthouse Hotel                 The Penthouse Hotel and Residences
422                                     Junction Hotel                         Junction Hotel Nay Pyi Taw
425                                            A Hotel                                     A Hotel Penang
427                        Saga Heritage Accommodation                                      Saga Heritage
428  7 Days Inn Dongguan Humen Yellow River Fashion...  7Days Inn Dongguan Huanghe Fashion City Second...
429                          Maya Sanur Resort and Spa                            Maya Sanur Resort & Spa
430         Daiwa Roynet Hotel Nagoya Shinkansen-guchi          Daiwa Roynet Hotel Nagoya Shinkansenguchi
432                            Kohmak Riverside Resort                                   Riverside Resort
433                               The Myth-Sud Sathorn                             The Myth - Sud Sathorn
434                                       Cuarto Hotel                                 Cuarto Hotels Cebu
435                  Shenyang Sifang Service Apartment                          Shenyang Sifang Apartment
436                      Boutique Stays Hart of Elwood                    Boutique Stays - Hart of Elwood
437                            MH Florence Hotel & Spa                            Mh Florence Hotel & Spa
439  Jinjiang Inn Shenyang Heping North Street 1st ...  Jinjiang Inn Shenyang Zhongshan Square Medical...
440  GreenTree Inn Fuyang Middle Yingzhou Road Busi...  GreenTree Inn Anhui Fuyang Middle Yingzhou Roa...
441  GreenTree Inn ShanDong Jining Zoucheng Changpi...  GreenTree Inn ShanDong JiNing ZouCheng ChangPi...
446                       Hotel Whistling Pines Resort                       Whistling Pine Resorts & Spa
449                      The Runnymede on Thames Hotel                            The Runnymede-On-Thames
450         Best Western Plus Gadsden Hotel and Suites           Best Western Plus Gadsden Hotel & Suites
451                  Hilton Garden Inn Seattle Bothell                  Hilton Garden Inn Seattle/Bothell
452            La Marquise Luxury Resort Complex Hotel                  La Marquise Luxury Resort Complex
453                          Best Western PLUS Sundial                          Best Western Plus Sundial
454                            Americas Best Value Inn                             Classic Inn of Tavares
455               Best Western PLUS Siesta Key Gateway             Best Western Plus - Gateway Siesta Key
457                      Odyssey Residence Suite Hotel                       Odyssey Residence Apartments
458  Chongqing Yangtze River Internatioanl Youth Ho...           Yangtze River International Youth Hostel
460                              City Rooms Guesthouse                                         City Rooms
461                                 Qing He Yue Hostel                                      Qingheyue Inn
462                                            J Hotel                      J Hotel ( Natural Hot Spring)
463                                      Windsor Hotel                             Windsor Hotel Taichung
464                        Novotel Saigon Centre Hotel                              Novotel Saigon Centre
465  Hampton Inn And Suites Austin The University C...   Hampton Inn and Suites Austin University Capitol
469                        Best Western North East Inn                          Best Western - North East
471                       Comfort Inn and Suites Byram                         Comfort Inn & Suites Byram
472                        Mounts Bay Waters Apartment                  Mounts Bay Waters Apartment Hotel
474                 Lexington Inn And Suites Yuba City                   Lexington Inn & Suites Yuba City
475                         Courtyard Aberdeen Airport             Courtyard by Marriott Aberdeen Airport
478                                          Rex Hotel                                 Rex Hotel Adelaide
479                               Seakissed Beachhouse                              Seakissed Beach House
480                              The Lokha Ubud Resort                                     The Lokha Ubud
484                     Athens Atrium Hotel and Suites               Athens Atrium Hotel & Jacuzzi Suites
488                     Hidden Paradise By Rahi Resort                  Hidden Paradise - By Rahi Resorts
489                                   Valentinos Hotel                                  Valentino's Hotel
492                                 Leopards Club Yala                                  LeopardsClub YALA
493                           Green Coconut Resort-ECR                               Green Coconut Resort
494           7 Days Inn Lanzhou Yongchang Road Branch                   7Days Inn Lanzhou Yongchang Road
495                              Penthouse Villa Trixy                            Penthouse & Villa Trixy
498                                  Hotel Le Mireille                                        Le Mireille
-----
Printing mismatches for keys:  ['p1.city_name', 'p2.city_name']  number of mismatches: 488
                             p1.city_name                p2.city_name
1    Mae Suai / Wiang Pa Pao (Chiang Rai)                 Ban Pa Ngiu
2                                     Goa                   Calangute
4                               Rome (NY)                        Rome
5                                   Chiba                      Onjuku
9                               Shiretoko                    Kiyosato
11                            Chiang Saen             Golden Triangle
13                               Shizuoka                   Minamiizu
16                                  Samui                 Lamai Beach
17                               Taichung                       Xitun
18                   College Station (TX)             College Station
20                                 Manali                      Manāli
23                                  Krabi                Tonsai Beach
27                               Shizuoka                       Atami
31                     Whitsunday Islands                Airlie Beach
32                             La Fortuna                     Fortuna
33                         Sunshine Coast                 Noosa Heads
35                                 Penang                 George Town
37                                 Nagano                  Yamanouchi
38                     Thiruvananthapuram                  Trivandrum
39                        Livingston (MT)                  Livingston
40                      Central City (NE)                Central City
41                              Compiegne                   Compiègne
42                          Tacloban City                    Tacloban
48                                Hualien                Hualien City
52                               Haiphong                      Ðố Sơn
53                            Jeju Island                        Jeju
54                                   Bali                    Seminyak
55                                Wadduwa                    Kalutara
56                               Alleppey                  Eramalloor
58                                Negombo                    Wayikkal
59                    Saint Lucia Estuary                    St Lucia
60                              Koh Samet                    Ko Samed
62                     Whitsunday Islands                       Bowen
68                                  Chand                      Indore
72                              Koh Lanta                    Ko Lanta
73                                  Hampi                      Hospet
74                       Hua Hin / Cha-am                     Hua Hin
75                                Samosir                     Tuk Tuk
79                                 Halong                    Thuan An
80                                   Bali                    Jimbaran
82                           Yarra Valley                 Healesville
84                                  Krabi               Ao Nang Beach
86                            Gilroy (CA)                      Gilroy
87                                 Nagano                  Yamanouchi
88                           Orlando (FL)                     Orlando
89                          Sterling (VA)                    Sterling
90                              Sokcho-si                      Sokcho
91                                Pattaya             Pattaya Central
94                    Stratford Upon Avon                    Alcester
95                                Ibaraki                     Tsukuba
97                          Hunter Valley                    Rothbury
99                                 Karnal                      Karnāl
103                      Noblesville (IN)                 Noblesville
107                      Los Angeles (CA)                     Burbank
108                         Wildwood (FL)                    Wildwood
109                               Mathura                   Vrindāvan
110                               Pattaya               Jomtien Beach
111                                Phuket                Patong Beach
112                            Indio (CA)                       Indio
113                                Phuket              Nai Harn Beach
115                      Los Angeles (CA)                 Los Angeles
116                               Colombo                    Dehiwala
117                                 Samui                    Lipa Noi
118                     New Delhi and NCR                     Gurgaon
119                            Mount Emei                    Emeishan
120                          Yangyang-gun                    Yangyang
121                               Pattaya               Jomtien Beach
123                                  Bali                      Canggu
124                         New York (NY)                    New York
130                      Mauritius Island                    Blue Bay
133                         Xishuangbanna                    Jinghong
136                                Penang                 George Town
137                               Thakhek                     Ban Lao
138                             Hiroshima            Higashihiroshima
142                              Taichung                       Xitun
144                        Boracay Island                     Boracay
145                             Koh Lanta                    Ko Lanta
146                                 Paris                     Bobigny
149                            Phan Thiet                       Ke Ga
154                       Angeles / Clark                     Angeles
157                         Abingdon (VA)                    Abingdon
159                             Bangalore                  Devanhalli
162                           Belton (MO)                      Belton
163                       Toms River (NJ)                  Toms River
165                         Mobridge (SD)                    Mobridge
166                              Nagasaki                      Sasebo
167                    San Francisco (CA)               San Francisco
168                             Avon (CO)                        Avon
171                                 Nasik                      Nashik
173                               Mbabane                    Ezulwini
175                                 Samui           Chaweng Noi Beach
176                               Kenting                       Eluan
183                    Garges-les-Gonesse                  Le Bourget
184                                Manali                        Kulu
185                          Kuala Lumpur                 Subang Jaya
190                               Pattaya             Pattaya Central
191                                  Wuxi                      Yixing
194                         Sihanoukville             Phumĭ Poŭthĭ Té
196                      Hua Hin / Cha-am                      Cha Am
197                      Mauritius Island                  Belle Mare
202                               Kenting           Hengchun Old Town
204                                  Addo                    Kirkwood
214                       Valparaiso (IN)                  Valparaiso
216                               Waitomo                    Pirongia
217                        Blue Mountains                    Katoomba
218                         Victor Harbor                   Middleton
219                      Monroeville (AL)                 Monroeville
220                        Sunshine Coast                  Noosaville
222                     Sunset Beach (CA)            Huntington Beach
227                      Kansas City (MO)                     Liberty
228                        Boracay Island                     Boracay
229                            Omaha (NE)                       Omaha
231                       Sherbrooke (QC)                  Sherbrooke
233                                Phuket                 Phuket Town
234                     Collinsville (IL)                Collinsville
235                       Pyeongchang-gun                Pyeongchang 
241                               Niigata                     Shibata
245                           Jeju Island                        Jeju
247                               Majorca                 Santa Ponsa
248                            Mount Fuji                  Fujinomiya
250                     Tuy Hoa (Phu Yen)                     Tuy Hoa
253                               Hualien                Hualien City
254                              Jamnagar                    Jāmnagar
255                                Shimla                       Jūnga
257                            Phan Thiet                      Mui Ne
261                                 Yilan                     Luodong
263                                  Durg                Rāj Nāndgaon
264                 Rach Gia (Kien Giang)                    Rach Gia
266                              Chonburi                 Ban Tha Sai
268                       Greensburg (PA)                  Greensburg
271                        Rochester (NY)                   Rochester
272                               Bangkok                 Lat Krabang
273                            Vijayawada                  Vijayawāda
276                          Gran Canaria  Las Palmas de Gran Canaria
277                                  Oita                       Beppu
278                          Barstow (CA)                     Barstow
279                          Fortuna (CA)                     Fortuna
280                           Edison (NJ)                      Edison
283                               Negombo                  Katunayaka
285                                   Goa                      Utorda
287                              Istanbul                    İstanbul
288                                London                   Brentford
289                        Arlington (VA)                   Arlington
291                                   Goa                      Panaji
294                                  Sapa                       Sa Pa
296                          Seattle (WA)                     Tukwila
297                            Eagle (CO)                       Eagle
298                       Coralville (IA)                  Coralville
299                           Murray (KY)                      Murray
300                           Monroe (LA)                      Monroe
303                               Da Nang                     Con Dao
304                                 Kochi                      Kāladi
307                          Kuala Lumpur                      Kajang
308                                Malaga                      Málaga
312                        Boracay Island                     Boracay
321                                Yangon                    Thanlyin
323                               Beijing                     Yanqing
325                     Taizhou (Jiangsu)                     Taizhou
330                     New Delhi and NCR                   New Delhi
332                              Haridwar                    Haridwār
334                           Prachinburi                  Kabin Buri
338                                 Krabi                Railay Beach
339                          Manheim (PA)                     Manheim
342                      Palm Desert (CA)                 Palm Desert
343                                  Nara              Yamatokoriyama
345                     Pickerington (OH)                Pickerington
346                   Newcastle-upon-Tyne         Newcastle upon Tyne
347                              Ou Chrov                      Poipet
349                       Fort Worth (TX)                 Haltom City
351                                 Aichi                    Toyokawa
352                         Columbus (OH)                 Westerville
354                                  Bali                      Legian
356                         Anderson (IN)                    Anderson
359                                  Bali                    Jimbaran
360                           Destin (FL)                      Destin
364                     New Delhi and NCR                   New Delhi
366                        Las Vegas (NV)                   Las Vegas
370                            Chiang Mai                   Hang Dong
371                               Kolkata                     Chengel
372                              Vung Tau                     Ha Long
373                          Shijiazhuang                    Gaocheng
375                  Kruger National Park         Balule Game Reserve
376                               Palawan                       Coron
377                          Orlando (FL)                     Orlando
378                                 Ajmer                         Bīr
380                              Cheshunt               Waltham Cross
381                              Chambery                    Chambéry
384                      New Orleans (LA)                 New Orleans
385                     Lenk im Simmental                        Lenk
387                         New York (NY)                    Brooklyn
388                           Nanuet (NY)                      Nanuet
391                            Gold Coast             North Tamborine
394                             Fukushima               Aizuwakamatsu
397                           Austin (TX)                      Austin
401                                 Anyer                    Pasauran
403                                Nagano                      Hakuba
404                         Dayville (CT)                    Dayville
405                             Troy (MI)                        Troy
406                             Santorini                  Imerovigli
409                      Los Angeles (CA)                 Los Angeles
410                           Montpellier           Palavas-les-Flots
411                 Hawaii The Big Island                    Waikoloa
412                                Phuket                Patong Beach
415                        Ras Al Khaimah              Ras al Khaimah
419                                  Yala               Tissamaharama
421                       Angeles / Clark                     Angeles
423                              Istanbul                    İstanbul
425                                Penang                 George Town
427                              Sigiriya                    Habarana
429                                  Bali                       Sanur
431                              Langkawi                        Kuah
432                        Koh Mak (Trad)                      Ko Mak
434                                  Cebu                   Cebu City
441                                Jining                    Zoucheng
446                                Manali                   Jagatsukh
449                                London                       Egham
450                          Gadsden (AL)                    Siberton
451                          Bothell (WA)                     Bothell
452                                Rhodes                    Faliraki
453                          Phoenix (AZ)                  Scottsdale
454                          Tavares (FL)                     Tavares
455                         Sarasota (FL)                    Sarasota
456                                Manali                      Manāli
461                             Huangshan                          Yi
463                              Taichung                       Xitun
465                           Austin (TX)                      Austin
469                       North East (MD)                  North East
470                                Halong                     Ha Long
